Ion N,Azm,Elv,KE,TOF,X,Y,Z,KE
initial,initial,initial,initial,final,final,final,final,final
372,0,0.0,1597.64,0.0291957,406.7,0.0,0,700.432
373,0,0.0,1472.4,0.0342392,406.7,0.0,0,575.184
374,0,0.0,2234.54,0.0193848,406.7,0.0,0,1337.33
375,0,0.0,2357.92,0.0184526,406.7,0.0,0,1460.71
376,0,0.0,1451.74,0.0353927,406.7,0.0,0,554.529
377,0,0.0,1898.86,0.0229692,406.7,0.0,0,1001.65
378,0,0.0,1610.17,0.0288157,406.7,0.0,0,712.956
379,0,0.0,1602.73,0.0290393,406.7,0.0,0,705.522
380,0,0.0,1591.78,0.0293794,406.7,0.0,0,694.572
381,0,0.0,1885.68,0.0231576,406.7,0.0,0,988.465
382,0,0.0,1537.44,0.0312893,406.7,0.0,0,640.225
383,0,0.0,1231.93,0.0838926,406.7,0.0,0,334.722
384,0,0.0,1248.3,0.0707062,406.7,0.0,0,351.092
385,0,0.0,1351.18,0.0438405,406.7,0.0,0,453.964
386,0,0.0,1631.52,0.0282039,406.7,0.0,0,734.307
387,0,0.0,1289.58,0.0546083,406.7,0.0,0,392.366
388,0,0.0,1820.56,0.0241681,406.7,0.0,0,923.351
389,0,0.0,1704.73,0.0263914,406.7,0.0,0,807.515
390,0,0.0,1843.86,0.0237904,406.7,0.0,0,946.643
391,0,0.0,1982.98,0.0218736,406.7,0.0,0,1085.77
392,0,0.0,1901.75,0.0229285,406.7,0.0,0,1004.54
393,0,0.0,1720.15,0.0260562,406.7,0.0,0,822.933
394,0,0.0,2391.8,0.0182206,406.7,0.0,0,1494.58
395,0,0.0,1643.42,0.027881,406.7,0.0,0,746.209
396,0,0.0,1747.8,0.0254885,406.7,0.0,0,850.583
397,0,0.0,2280.25,0.0190223,406.7,0.0,0,1383.03
398,0,0.0,2275.19,0.0190613,406.7,0.0,0,1377.98
399,0,0.0,1326.42,0.0472575,406.7,0.0,0,429.207
400,0,0.0,2226.34,0.0194523,406.7,0.0,0,1329.13
401,0,0.0,1279.76,0.057332,406.7,0.0,0,382.551
402,0,0.0,2117.31,0.0204261,406.7,0.0,0,1220.1
403,0,0.0,1239.52,0.0768506,406.7,0.0,0,342.303
404,0,0.0,1883.44,0.0231901,406.7,0.0,0,986.231
405,0,0.0,1374.76,0.0412529,406.7,0.0,0,477.549
406,0,0.0,2067.18,0.0209297,406.7,0.0,0,1169.96
407,0,0.0,2384.69,0.0182685,406.7,0.0,0,1487.48
408,0,0.0,2366.2,0.0183951,406.7,0.0,0,1468.99
409,0,0.0,2265.16,0.0191396,406.7,0.0,0,1367.94
410,0,0.0,1701.32,0.0264674,406.7,0.0,0,804.109
411,0,0.0,2203.12,0.0196472,406.7,0.0,0,1305.91
